Date,Unix,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Weighted_Price,VWAP,Dollar_Volume,MA_Volume_BTC,MA_Volume_USDT,Pct_Change_Volume_BTC,Pct_Change_Volume_USDT,Weighted_Price_Prediction,Weighted_Price_Prediction
2020-06-22,1592520000000.0,BTCUSDT,9386.32,9438.3,9215.79,9310.23,45330.98367,423086965.2,503484,9337.66,9333.28445462344,422041884.0939441,46676.43024142857,437103982.7,0.21264351106172796,0.20314943973037303,17087.35,17087.35
2020-06-29,1592870000000.0,BTCUSDT,9685.69,9720.0,9577.03,9624.89,41031.02938,395487616.5,474319,9651.9025,9638.74468849604,394919144.3692682,40618.83398857143,383431149.90000004,-0.2912911743102413,-0.2822311583028547,17419.96,17419.96
2020-07-06,1593480000000.0,BTCUSDT,9192.93,9205.0,9064.89,9138.55,31463.1628,287781334.5,328083,9150.342499999999,9146.611748136142,287527686.40593994,45465.434498571434,417926664.72857136,-0.2530165303982027,-0.25097190064099584,17905.59,17905.59
2020-07-13,1594080000000.0,BTCUSDT,9342.47,9379.42,9203.0,9257.39,34587.33668,320576525.4,433481,9295.57,9268.60973326611,320188464.7080652,37531.88686142857,343863892.4,-0.36494036916232975,-0.36209817684811374,17513.09,17513.09
2020-07-20,1594680000000.0,BTCUSDT,9242.61,9279.54,9113.0,9255.85,45772.55251,421789086.5,613139,9222.75,9214.891094567014,423663880.14968354,40632.45033714286,376804153.4714286,0.07095176616317089,0.06347479965504843,17954.785,17954.785
2020-07-27,1595290000000.0,BTCUSDT,9160.78,9437.73,9152.8,9390.0,60413.58249,563360524.8,782959,9285.3275,9325.064026673977,567283539.5811,36423.20243571429,335179086.2285714,0.703770113185513,0.7318328290170597,16978.346,16978.346
2020-08-03,1595890000000.0,BTCUSDT,11029.96,11242.23,10565.0,10906.27,97267.73419,1065375500.0,1475636,10935.865,10953.020638055843,1060828171.3643714,71145.40797857143,721867074.2857143,-0.3523641710322529,-0.325863334996782,16835.514,16835.514
2020-08-10,1596500000000.0,BTCUSDT,11219.68,11414.98,11000.0,11191.97,58629.11371,658084242.7,863692,11206.657500000001,11224.529948638039,656175281.7689086,72271.15708285714,814593187.2428571,0.029812354314873835,0.026448166600849587,16650.791,16650.791
2020-08-17,1597100000000.0,BTCUSDT,11892.9,11935.0,11125.0,11392.08,90748.28463,1049615697.0,1343979,11586.244999999999,11566.231816717042,1033811718.3677304,66186.73125571429,772357001.9571428,0.0682258650433476,0.040079145787290216,16310.506,16310.506
2020-08-24,1597710000000.0,BTCUSDT,12281.15,12387.77,11817.93,11945.01,75923.83553,920402307.2,1189390,12107.965,12122.705613790005,906910974.6442053,64732.163838571425,765664578.8428572,-0.10397660932787389,-0.10369350629705776,16310.506,16310.506
2020-08-31,1598310000000.0,BTCUSDT,11748.19,11767.85,11117.64,11318.42,69590.92327,797034671.6,996668,11488.025,11453.141216529804,787659297.7576334,54550.82165428572,636240845.6285715,0.505893126366757,0.46973301238256226,16310.506,16310.506
2020-09-07,1598920000000.0,BTCUSDT,11649.51,12050.85,11515.0,11921.97,78148.19367,928047313.5,1321492,11784.3325,11875.480032448459,931680420.4879298,53264.52366285714,616272684.1,0.41179920772419587,0.4349978054219157,16310.506,16310.506
2020-09-14,1599520000000.0,BTCUSDT,10373.45,10438.0,9850.0,10126.65,73491.87842,742947902.0,1048125,10197.025,10109.251770027082,744226530.601893,83484.00774285714,880018711.7571429,0.1736123872739459,0.17132751263651547,16359.076,16359.076
2020-09-21,1600130000000.0,BTCUSDT,10671.77,10930.04,10606.48,10785.31,61822.45279,666457161.1,893852,10748.400000000001,10780.179870310836,666774318.3005149,51361.375588571434,535942533.65714294,-0.0780926619383232,-0.05624441114037626,16310.506,16310.506
2020-09-28,1600730000000.0,BTCUSDT,10417.22,10572.71,10353.0,10529.61,43991.23548,460362500.7,738576,10468.135,10464.86864205706,463210553.02256286,51447.49733428571,555950517.4142857,-0.3776301638785272,-0.3870176383366276,16359.076,16359.076
2020-10-05,1601340000000.0,BTCUSDT,10696.11,10867.54,10635.87,10840.48,41874.8984,449345822.5,587576,10760.0,10730.672542957143,453943998.607232,44084.967794285716,468859986.24285716,-0.1640944609741759,-0.17469939873969775,16359.076,16359.076
2020-10-12,1601940000000.0,BTCUSDT,10792.2,10800.0,10525.0,10599.66,48674.74047,520051256.1,734526,10679.215,10684.212202847315,515935699.57024014,39829.068425714286,424276538.12857145,0.4305261105007474,0.4280903549786108,16359.076,16359.076
2020-10-19,1602550000000.0,BTCUSDT,11528.24,11557.0,11300.0,11420.56,42205.28371,482663390.7,618262,11451.45,11436.089235093545,482007974.9270776,42962.03011285714,478655549.7857142,-0.20104009395011724,-0.20191885683370436,16359.076,16359.076
2020-10-26,1603150000000.0,BTCUSDT,11751.46,12038.38,11677.59,11909.99,62134.75066,737425592.1,906111,11844.355,11868.16691572767,740024259.0130934,42025.11642571429,484220334.15714294,0.31045788103251337,0.33899979026296734,16310.506,16310.506
2020-11-02,1603760000000.0,BTCUSDT,13052.15,13789.29,13019.87,13636.17,80796.554,1085214438.0,1003550,13374.37,13431.444588589755,1101755545.7581801,64456.04233428572,834880435.2142857,0.3255838607293986,0.36608796757462403,16310.506,16310.506
2020-11-09,1604360000000.0,BTCUSDT,13549.63,14066.11,13284.99,14023.53,74115.63079,1009402088.0,1052569,13731.065,13619.287554335879,1039362771.8524886,68896.8402842857,931054232.6999999,0.1478974457235802,0.15541143866802987,16310.506,16310.506
2020-11-16,1604970000000.0,BTCUSDT,15328.41,15460.0,15072.46,15297.21,61681.91961,943615126.1,1093466,15289.519999999999,15298.083004975404,943561277.477288,99573.33536285713,1497714802.2714286,-0.433987937661779,-0.4351125193643868,16310.506,16310.506
2020-11-23,1605570000000.0,BTCUSDT,16713.08,17858.82,16538.0,17659.38,115221.4031,1982752071.0,1646652,17192.32,17208.19238140314,2034738541.476078,79370.46453999999,1292205328.4714286,0.4172256478332119,0.4843980587503047,16310.506,16310.506
2020-11-30,1606180000000.0,BTCUSDT,18368.01,19418.97,18018.0,19160.01,113581.5092,2145301450.0,2179862,18741.247499999998,18887.770246321044,2176222852.087092,97745.51129428572,1789848173.5714285,0.3690868759877888,0.4030158325844657,16310.506,16310.506
